,state,year,miles,fatalities,seatbelt,speed65,speed70,drinkage,alcohol,income,age,enforce
1,AK,1983,3358,0.044669445604086,NA,no,no,yes,no,17973,28.2349662780762,no
2,AK,1984,3589,0.037336304783821,NA,no,no,yes,no,18093,28.343542098999,no
3,AK,1985,3840,0.033072914928198,NA,no,no,yes,no,18925,28.3728160858154,no
4,AK,1986,4008,0.025199601426721,NA,no,no,yes,no,18466,28.3966522216797,no
5,AK,1987,3900,0.019487179815769,NA,no,no,yes,no,18021,28.4532508850098,no
6,AK,1988,3841,0.025253839790821,NA,no,no,yes,no,18447,28.8514194488525,no
7,AK,1989,3887,0.0216104965657,NA,no,no,yes,no,19970,29.1489543914795,no
8,AK,1990,3979,0.02462930418551,0.449999988079071,no,no,yes,no,21073,29.5862846374512,no
9,AK,1991,4021,0.025118129327893,0.660000026226044,no,no,yes,no,21496,29.8277111053467,secondary
10,AK,1992,3841,0.02811767719686,0.660000026226044,yes,no,yes,no,22073,30.2106971740723,secondary
11,AK,1993,3918,0.030117407441139,0.689999997615814,yes,no,yes,no,22711,30.4643859863281,secondary
12,AK,1994,4150,0.020481927320361,0.689999997615814,yes,no,yes,no,23417,30.75657081604,secondary
13,AK,1995,4123,0.021101139485836,0.689999997615814,yes,no,yes,no,23971,31.178596496582,secondary
14,AK,1996,4115,0.01968408189714,0.689999997615814,yes,no,yes,no,24310,31.4453544616699,secondary
15,AK,1997,4387,0.017551857978106,0.689999997615814,yes,no,yes,no,24969,31.6014747619629,secondary
16,AL,1983,31032,0.029969064518809,NA,no,no,no,no,9505,34.2006454467773,no
17,AL,1984,32961,0.028275841847062,0.129999995231628,no,no,no,no,10417,34.421630859375,no
18,AL,1985,35091,0.025134649127722,0.170000001788139,no,no,yes,no,11133,34.6025695800781,no
19,AL,1986,34003,0.031791310757399,0.28999999165535,no,no,yes,no,11736,34.7606735229492,no
20,AL,1987,37426,0.02968524582684,0.209999993443489,yes,no,yes,no,12394,34.9556579589844,no
21,AL,1988,39684,0.025803850963712,0.28999999165535,yes,no,yes,no,13288,35.1369552612305,no
22,AL,1989,40765,0.025242242962122,0.379999995231628,yes,no,yes,no,14266,35.3278579711914,no
23,AL,1990,42347,0.026471769437194,0.439999997615814,yes,no,yes,no,15213,35.6229248046875,no
24,AL,1991,42924,0.025999441742897,0.469999998807907,yes,no,yes,no,15895,35.6887359619141,no
25,AL,1992,45762,0.022529609501362,0.579999983310699,yes,no,yes,no,16817,35.8326187133789,secondary
26,AL,1993,47337,0.022054629400373,0.550000011920929,yes,no,yes,no,17398,35.9482536315918,secondary
27,AL,1994,48956,0.022121906280518,0.550000011920929,yes,no,yes,no,18163,36.0920104980469,secondary
28,AL,1995,50628,0.022003633901477,0.519999980926514,yes,yes,yes,yes,19041,36.2057456970215,secondary
29,AL,1996,51433,0.022281413897872,0.540000021457672,yes,yes,yes,yes,19838,36.3851318359375,secondary
30,AL,1997,53458,0.022297877818346,0.519999980926514,yes,yes,yes,yes,20672,36.5007209777832,secondary
31,AR,1983,16684,0.033385280519724,NA,no,no,yes,no,9267,35.4221382141113,no
32,AR,1984,16621,0.031586546450853,NA,no,no,yes,no,10263,35.56396484375,no
33,AR,1985,17112,0.031206171959639,NA,no,no,yes,no,10919,35.6919136047363,no
34,AR,1986,17555,0.03434918820858,0.197999998927116,no,no,yes,no,11409,35.8672676086426,no
35,AR,1987,18306,0.034906588494778,NA,yes,no,yes,no,11842,36.0081329345703,no
36,AR,1988,19219,0.031739424914122,0.300999999046326,yes,no,yes,no,12637,36.1438674926758,no
37,AR,1989,20414,0.031693935394287,NA,yes,no,yes,no,13353,36.2920837402344,no
38,AR,1990,21011,0.028746847063303,0.340000003576279,yes,no,yes,no,14025,36.4256820678711,no
39,AR,1991,21934,0.027719521895051,0.519999980926514,yes,no,yes,no,14766,36.4663162231445,secondary
40,AR,1992,23081,0.025475500151515,0.550000011920929,yes,no,yes,no,15807,36.5056991577148,secondary
41,AR,1993,23995,0.024296728894115,0.550000011920929,yes,no,yes,no,16380,36.5925750732422,secondary
42,AR,1994,24948,0.024410774931312,0.509999990463257,yes,no,yes,no,17090,36.6223907470703,secondary
43,AR,1995,26653,0.023674633353949,0.509999990463257,yes,no,yes,no,17934,36.628490447998,secondary
44,AR,1996,27840,0.022090516984463,0.479999989271164,yes,no,yes,no,18808,36.6652374267578,secondary
45,AR,1997,28144,0.023450823500752,0.479999989271164,yes,no,yes,no,19595,36.8175773620605,secondary
46,AZ,1983,19611,0.03441945835948,NA,no,no,no,no,11277,34.1142196655273,no
47,AZ,1984,20613,0.042157862335444,NA,no,no,yes,no,12375,34.2470703125,no
48,AZ,1985,21580,0.041380908340216,NA,no,no,yes,no,13280,34.3313598632812,no
49,AZ,1986,22665,0.044429738074541,NA,no,no,yes,no,13980,34.475341796875,no
50,AZ,1987,31729,0.029594376683235,NA,yes,no,yes,no,14631,34.543025970459,no
51,AZ,1988,34247,0.027564458549023,NA,yes,no,yes,no,15246,34.6561317443848,no
52,AZ,1989,34816,0.025247013196349,NA,yes,no,yes,no,15919,34.7041091918945,no
